epoch,train_loss,train_acc,test_loss,test_acc
1,1.2978455173969268,0.52948,1.15022882938385,0.579
2,1.0609982424974442,0.61752,0.9472595107555389,0.662
3,0.8692649726867676,0.69018,0.8437076830863952,0.6959
4,0.7578418715596199,0.73108,0.772643762230873,0.7287
5,0.6703017339706421,0.76394,0.7064777535200119,0.7528
6,0.6095691410303116,0.78594,0.7292971050739289,0.7509
7,0.5577063520550728,0.80298,0.735875244140625,0.7509
8,0.5177265429496765,0.81758,0.7301773843169213,0.7529
9,0.47161101779341696,0.83352,0.7003457954525948,0.7586
10,0.4363739545941353,0.84524,0.7002352878451348,0.7695
11,0.39615178617835045,0.85962,0.7362655806541443,0.7726
12,0.3719296853840351,0.86748,0.7292077508568764,0.7742
13,0.33113251033425334,0.88066,0.8224681374430657,0.7554
14,0.31220801240205764,0.8876,0.8128524458408356,0.7574
15,0.29065942661464217,0.89476,0.8040643614530564,0.7686
16,0.265937347099185,0.905,0.8295180919766426,0.7749
17,0.23797395367175342,0.91296,0.8677560076117515,0.7619
18,0.21702010571956634,0.92212,0.9502158200740815,0.7579
19,0.2110704362541437,0.92424,0.9888644459843635,0.758
20,0.1929065525829792,0.93042,0.9706305411458015,0.7621
21,0.17716267386823892,0.93614,0.9875084179639816,0.7647
22,0.16579891206324102,0.93932,1.0589040327072143,0.7662
23,0.16213388059288264,0.94078,1.1077380716800689,0.7601
24,0.14554912316799165,0.94636,1.1399243557453156,0.7541
25,0.14932419420406223,0.9464,1.0811153423786164,0.7613
26,0.12932989673316478,0.95362,1.1050321638584137,0.7695
27,0.13256687539443374,0.95276,1.0784189608693122,0.7631
28,0.13103545020520688,0.9517,1.0561434170603752,0.7675
29,0.10744178697094321,0.96212,1.1781392571330072,0.7588
30,0.11353918751887977,0.95906,1.2160244572162628,0.762
31,0.11027528399042785,0.96124,1.2141996771097183,0.7498
32,0.11112531591765583,0.96074,1.2462581476569177,0.7612
33,0.09530816930904984,0.96564,1.2581138491630555,0.7576
34,0.09941168914735317,0.96382,1.2483202636241912,0.7578
35,0.10353179510310292,0.9628,1.2505984136462212,0.7538
36,0.09574861910752952,0.9666,1.2014009547233582,0.7622
37,0.09237931445799769,0.96702,1.2663970679044723,0.759
38,0.09163041462004184,0.96738,1.2419514772295952,0.76
39,0.0887056564129889,0.96872,1.2916370475292205,0.7501
40,0.08139373925514519,0.97164,1.3141795018315314,0.7619
41,0.08636011333204806,0.96966,1.3764675283432006,0.7592
42,0.08225116002559661,0.97074,1.1986731886863708,0.7629
43,0.08302330714091659,0.9713,1.2355385828018188,0.7679
44,0.07349813577719033,0.97444,1.301476318538189,0.7716
45,0.07975638332311064,0.97126,1.3427917063236237,0.7661
46,0.07776935051381588,0.9728,1.35319864153862,0.7514
47,0.07596011842414736,0.97386,1.2606508812308312,0.7735
48,0.06985008442495018,0.97536,1.4041248989105224,0.7626
49,0.06270915338210761,0.9776,1.433794322013855,0.7506
50,0.07326164066977799,0.974,1.3633489269018173,0.7557
